target_entrez,disease_icd10
7044,204677
6796,203852
3614,203852
187,204677
14123,204677
21686,204677
1113,207332
3614,207332
6796,203972
3614,203972
19502,207156
20635,206289
7044,207177
13334,207177
7478,207177
2419,208245
15694,208245
11462,208245
7803,208593
3057,205944
4342,205944
4467,205944
1972,207332
6796,207332
9095,206811
20635,206811
8092,206811
19389,207161
187,206407
12890,205234
18430,205234
3377,205234
21686,207908
10686,206811
943,207332
2419,203567
2002,205006
22021,205006
3377,205006
3057,208245
1810,208245
1029,208245
9095,208714
16288,208714
187,208714
2113,208714
14291,208714
817,208714
9249,208714
6303,208714
4817,208714
17649,208714
9452,208714
14896,208714
4899,208714
19591,208714
4146,208714
16899,208714
2981,208714
8235,208714
17916,208714
8978,208714
1377,208714
2357,208714
14588,208714
5900,208714
2558,208714
17447,205427
9932,204677
2856,205476
9706,205476
9249,207580
14136,204710
2019,204677
3614,206218
10743,204807
19821,206060
1810,206060
21042,206060
7527,203720
647,204630
7044,204630
11813,204630
3536,204630
11493,204630
551,204630
187,204630
17821,204630
7877,204630
4927,204767
19451,204767
647,208015
13814,205260
10877,208091
10877,203319
10877,206897
10877,204630
10877,204886
10877,207742
9095,208525
9437,208525
2094,208525
19389,205476
7478,208245
19862,204202
13974,204202
19821,204202
1810,204202
2861,204202
1786,204202
21042,204202
647,203432
9706,205427
8128,206768
10378,206768
20635,206768
1972,206768
8092,206768
187,206768
8020,206768
3231,207567
4591,203394
6796,207161
14123,207161
551,208245
3540,206342
2113,206342
2312,204055
10318,206857
773,206857
890,207332
11519,207332
17484,207332
2002,207332
6272,207332
13306,207332
7366,207332
17821,207332
7877,207332
2883,207332
6246,207332
17643,207332
4256,207332
20829,207332
2019,207161
19502,207161
17819,208773
4467,208773
13306,208773
8150,208773
16288,208773
22130,208773
10722,208773
6303,208773
17207,208773
6057,204071
11518,204071
4840,204071
11037,207299
14965,207299
11667,207299
1029,203972
4758,206768
17643,206768
19389,208640
647,204604
20635,205091
10318,204994
773,204994
19017,208640
13903,208640
10471,204994
551,207332
1972,204202
3614,204202
1972,204939
9540,204939
9932,204939
10378,204677
3619,204677
16,204677
9540,204677
817,204677
9452,204677
11407,204677
10722,207332
8128,204202
9540,204202
3536,207648
8174,207648
890,207567
20623,207567
4652,207567
3614,203707
13334,207683
187,207683
13847,207683
14123,203608
3377,207161
10743,205427
2419,204087
890,208091
890,203319
890,206897
890,204630
890,204886
890,207742
13903,208091
13903,203319
13903,206897
13903,204630
13903,204886
13903,207742
187,208091
187,203319
187,206897
187,204886
187,207742
3465,208091
3465,203319
3465,206897
3465,204630
3465,204886
3465,207742
19389,205576
12619,203882
20635,206566
10908,207332
551,204124
10378,205031
14123,205031
16288,203366
20635,204630
9932,203308
187,207161
3509,207161
19513,204604
3614,207205
3614,207827
3614,206355
3614,205691
3614,204937
3614,204604
3614,206268
3614,204056
3614,208652
3614,206830
3614,203745
3614,206627
3614,205014
3614,206654
3614,203526
3614,207646
3614,207990
9932,204124
2019,203707
4342,205455
647,206218
14650,205168
13903,207749
6796,207567
13903,207567
14081,207567
20741,207567
20635,208091
20635,203319
20635,206897
20635,204886
20635,207742
7743,208015
647,208091
647,203319
647,206897
647,204886
647,207742
7044,208091
7044,203319
7044,206897
7044,204886
7044,207742
8128,204178
8020,208015
9095,203524
9095,207759
9095,205437
9095,208147
9095,203264
9095,203528
9095,206352
9095,205995
9095,207025
9095,208175
9095,204165
9095,205763
9095,206244
9095,205828
9095,204926
9095,208314
7527,208525
9540,208525
8092,208640
9957,208640
10743,207161
10743,206073
17906,207161
1533,204178
8128,204248
3509,204248
6727,204248
22130,204248
10722,204248
14081,204248
13814,204248
2861,207332
16288,207332
2002,206218
16,206197
647,207205
647,207827
647,206355
647,205691
647,204937
647,206268
647,204056
647,208652
647,206830
647,203745
647,206627
647,205014
647,206654
647,203526
647,207646
647,207990
17207,208091
17207,203319
17207,206897
17207,204630
17207,204886
17207,207742
13541,208648
16627,207267
14081,204202
1810,207622
14123,206407
9095,204178
20635,205031
16627,207749
9095,204677
20635,204604
18730,206407
19386,206407
15024,206407
8578,208245
3540,204604
943,204055
1029,206124
6727,205057
4217,205057
1972,204604
9540,206493
8092,203972
14123,206352
9545,204606
890,204606
5546,204606
21320,204055
647,204055
13903,204055
18830,204202
11135,204202
4758,204202
11664,208569
16852,208569
10877,208569
19862,203608
13032,203608
11100,203608
13399,207739
13334,204202
9932,204202
18730,204202
20741,204202
647,205221
1972,205221
551,205221
18730,208091
18730,204630
9095,205427
8578,206218
647,208640
7044,208640
13974,208640
14022,208640
551,207739
13334,208091
13334,204630
