drug_pubchemcid,disease_icd10
190323,206959
190323,204673
190323,207471
190323,207239
190323,207323
190323,208076
190323,205186
190323,204139
190323,208089
190323,207704
190323,204629
188958,204760
190306,205350
167093,208622
153243,208622
198346,208622
194873,204298
87197,206682
119656,203319
119656,206897
119656,204630
119656,204886
119656,207742
113020,207260
113020,206342
113020,208419
113020,205127
192918,207562
192918,205805
192918,207664
192918,207138
192918,205252
75363,207015
75363,207450
56477,207562
56477,205805
56477,207664
56477,207138
56477,205252
188630,206079
53903,203319
53903,206897
53903,204630
53903,204886
53903,207742
86747,207339
86747,203880
86747,207389
86747,204291
86747,205275
86747,206748
86747,203698
86747,204846
86747,203449
86747,203615
86747,205345
86747,207650
86747,206507
86747,205113
86747,206739
86747,204030
86747,204034
86747,208270
86747,206099
93500,206200
181583,206087
181583,206306
181583,205477
181583,206548
181583,207074
181583,207165
181583,206907
181583,203512
181583,206601
181583,208566
181583,204701
181583,207645
181583,207675
194802,203551
85220,206218
198710,203453
198798,206242
198798,203899
198798,203539
198798,207386
198798,207348
198798,203856
198798,207621
198798,206786
198798,208267
198798,208111
198798,208251
198798,206068
198798,204838
198798,205940
198798,204014
198798,206271
198798,206912
198798,204310
198798,204978
198798,205359
198798,205245
198798,204798
198798,204298
198798,204780
198798,206377
198798,208324
198798,205732
198798,204524
198798,205568
198798,204581
198798,208497
198798,204287
198798,204872
198798,205459
198798,207182
198798,205097
198798,205585
198798,203538
198798,205933
198798,205461
198798,207619
198798,205427
198798,205672
198798,207318
198798,204837
198798,206407
198798,206070
198798,206984
198798,204385
198798,206051
198798,207929
198798,203891
198798,204196
198798,204584
198798,206804
198798,206970
198798,203312
198798,206063
198798,206641
198798,208392
198798,208809
198798,203629
198798,205234
198798,206993
198798,206716
198798,207626
198798,203806
198798,208813
198798,205949
196503,205942
194250,204388
49053,204794
132866,207351
95332,203620
95332,206604
95332,208468
95332,206791
95332,205074
95332,206568
95332,208661
95332,206673
95332,206007
95332,207516
95332,203300
95332,203516
95332,205408
95332,204799
95332,203368
95332,206554
95332,204294
95332,204517
95332,204868
95332,204853
95332,206555
95332,203578
95332,206383
95332,205430
95332,204053
95332,205156
95332,204144
95332,208307
95332,208263
95332,206805
95332,205115
95332,206478
95332,207184
95332,204156
95332,205063
95332,206570
95332,204187
201056,208282
201337,203620
201337,206604
201337,208468
201337,206791
201337,205074
201337,206568
201337,208661
201337,206673
201337,206007
201337,207516
201337,203300
201337,203516
201337,205408
201337,204799
201337,203368
201337,206554
201337,204294
201337,204517
201337,204868
201337,204853
201337,206555
201337,203578
201337,206383
201337,205430
201337,204053
201337,205156
201337,204144
201337,208307
201337,208263
201337,206805
201337,205115
201337,206478
201337,207184
201337,204156
201337,205063
201337,206570
201337,204187
198155,203620
198155,206604
198155,208468
198155,206791
198155,205074
198155,206568
198155,208661
198155,206673
198155,206007
198155,207516
198155,203300
198155,203516
198155,205408
198155,204799
198155,203368
198155,206554
198155,204294
198155,204517
198155,204868
198155,204853
198155,206555
198155,203578
198155,206383
198155,205430
198155,204053
198155,205156
198155,204144
198155,208307
198155,208263
198155,206805
198155,205115
198155,206478
198155,207184
198155,204156
198155,205063
198155,206570
198155,204187
104192,204673
104192,207471
104192,207239
104192,207323
104192,208076
104192,205186
104192,204139
104192,208089
104192,207704
187851,207578
200537,204909
200537,204270
200537,208151
200537,203671
200537,205277
200537,208710
200537,205575
200537,207268
200537,207930
200537,205370
200537,204238
200537,207566
200537,204229
200537,205490
200537,208589
200537,204149
200537,206814
200537,207424
200537,206078
200537,208632
200537,205250
200537,207369
200537,205339
