drug_pubchemcid,target_entrez
168295,9464
191194,1072
198749,12791
63037,14868
63139,13702
195074,8209
195074,3152
202599,21813
202600,14868
199145,18342
199145,6858
133004,13630
133004,19375
133004,21948
133004,19792
133004,19790
42105,17907
42105,7198
156189,18156
194773,5629
193906,1752
187951,13630
187951,21948
187951,19792
187951,19790
200318,17926
190443,8348
198235,18674
194851,3492
194851,20593
199697,3262
199697,13778
199697,3986
199697,6481
199697,6465
191350,12420
188330,17182
197734,11979
197734,15186
98432,405
98432,12607
195813,405
195813,12607
192481,3262
192481,13778
192481,6481
198046,11979
182755,6529
187614,20733
197406,4964
187762,18484
196208,21622
196208,20116
198518,12396
199454,7704
199454,10346
199454,18303
199454,930
198917,14586
97812,21539
202120,19712
188292,13065
195539,14739
189677,8136
197112,2327
194609,3807
198404,2663
198404,20063
198404,10843
202314,19398
193138,7735
193138,22257
193138,10022
193138,5738
193138,11378
193138,20272
193138,17685
193138,12345
193138,16466
193138,21787
193138,12759
193138,19990
81896,8871
193303,3587
198137,5177
166696,13908
166696,21787
166696,9812
193300,17367
194724,6555
190552,4964
197085,8766
188850,18156
196950,14444
196950,17102
188869,1742
190721,8900
133726,10399
131668,16685
131668,20471
195588,15608
32894,19790
174638,19790
100941,5871
100941,15776
48405,4964
191419,18156
27256,10209
194041,21915
194041,15
115455,21785
115455,13584
200597,15776
58450,15776
68965,1039
68965,21397
103984,19838
193597,13557
198914,12966
198914,8062
161893,20702
137171,1534
137171,21669
137171,19187
137171,21278
137171,5271
200252,1534
188052,14570
191539,14868
198913,7376
190760,9158
195179,10659
122054,5871
202195,10362
201253,6906
168780,12232
197352,17593
195214,546
190994,8062
197154,6434
35628,3353
109166,3353
196679,304
202093,14897
140004,19042
189513,19497
202144,18827
199389,10879
97658,16132
202519,1425
202519,16297
202519,2261
199860,15009
195794,12027
195794,15517
195794,11078
65387,15062
65387,12997
65387,10368
195822,1492
196331,13868
199683,17629
199831,12096
190132,10965
202968,4674
123151,1243
123151,17214
123151,6024
123151,10879
171018,10879
37387,4973
37387,8766
37387,1973
37387,3492
37387,5727
194672,12046
196317,12046
108242,12046
188575,12046
192852,12046
51390,17751
51390,6357
51390,4712
60900,10362
32611,4018
139782,18640
139782,13410
139782,4196
139782,841
139782,17658
160101,15811
160101,3986
201839,5843
201839,4902
201839,2622
190998,22239
196327,4449
196327,11172
202574,13191
189778,13191
202053,17074
190665,13191
199043,13191
199053,8890
169100,15963
169100,600
162426,20471
200321,9939
190603,14075
202603,8470
195968,20161
193922,18614
63202,1603
118756,17050
190801,6687
196761,15776
202419,5962
202419,1492
202419,14268
86784,18156
188748,7921
188748,431
188748,14037
191779,12791
191779,3182
34411,18156
198236,17209
192021,11979
192021,15186
202222,13191
147076,7940
147076,9111
147076,20702
201472,21787
201472,13100
190978,10822
199372,10822
189585,5431
189585,21982
197472,16649
202494,5794
85401,4964
85401,20824
194966,4964
179110,22257
203155,2272
107672,9111
107672,20702
202216,16649
202216,7340
202216,17074
202216,16831
199095,12118
192115,4712
146078,12556
138115,17074
138115,17367
128579,5437
128579,1327
128579,7299
128579,5866
128579,7723
128579,1117
128579,4248
128579,17777
128579,15630
128579,3353
128579,7939
128579,15067
128579,13650
128579,17088
128579,15423
128579,17963
128579,9495
128579,8951
128579,21773
128579,3139
128579,10299
128579,1015
128579,12718
128579,8399
128579,379
128579,10309
128579,16421
128579,15832
128579,15196
128579,21858
128579,6383
128579,18073
128579,17066
192599,22274
192599,4828
190484,8297
128321,10648
187693,11133
159516,16053
38642,10022
38642,10362
38642,20326
38642,17367
65936,14736
65936,9451
62782,12508
62782,14506
62782,19790
200818,8470
189284,17074
188349,12969
188149,12969
201529,12969
193186,12969
201455,18664
196656,12371
191226,5281
199577,12969
201545,12969
70697,4964
187518,1752
187518,210
187998,7775
197934,10843
187843,7470
196429,10843
193908,20048
193438,12963
193438,7470
199573,9564
199927,2663
199896,18271
191338,20048
197924,22100
189753,10116
193277,493
192236,12132
200240,2273
195471,12046
197543,11646
200859,7422
200859,1393
200859,8489
200859,11899
193857,13777
193857,11943
193857,18124
193857,16264
193857,7012
199848,13689
199848,17726
199848,5531
193329,10362
202513,20048
195377,18750
189343,2663
199092,18124
196635,16297
201002,13994
201018,12339
201018,687
