from_entrez,target_entrez
14833,17282
14833,7167
14833,1319
14833,724
5794,7789
5794,3364
5794,3615
5794,17696
5794,16950
5794,10914
5794,9978
6641,19187
6641,5661
6641,7054
8637,12117
12508,17697
18613,17697
19960,9464
16095,9705
16095,2669
16095,1416
16095,1792
17593,5794
17593,4712
17593,1792
17593,2924
17593,13797
17593,12700
16297,12861
16297,20991
16297,12807
1737,11802
1737,5794
1737,4712
1737,5222
1737,4024
1737,2924
1737,13797
1737,7333
1737,12700
16384,18281
16384,13130
16384,20564
16384,12666
16384,2065
16384,14653
16384,14897
16384,15507
16384,15712
16384,798
16384,18211
16384,2581
16384,8464
16384,9592
16384,4123
16384,15920
16384,2712
16384,17812
16384,15799
16384,20653
16384,3610
16384,7519
16384,17965
16384,19496
16384,11657
16384,10490
16384,10088
16384,14338
16384,482
16384,2428
16384,1606
16384,11182
16384,19095
16384,13844
16384,5647
16384,7691
16384,1394
16384,1162
16384,1682
16384,368
16384,16671
16384,3689
16384,10851
16384,12470
16384,21442
16384,6187
16384,1066
16384,14414
16384,10706
16384,17581
16384,6718
16384,17058
16384,5972
16384,17838
16384,22162
16384,19298
16384,1307
16384,10276
16384,8703
16384,14417
16384,22195
16384,20758
12989,17838
21265,3994
21265,3089
21265,18963
21265,14570
9464,20654
21014,9464
15759,245
3454,18901
3454,6476
3454,13309
3454,5177
3454,1771
3454,20614
3454,11997
3454,7757
3454,12480
3454,3454
3454,6067
3454,2914
3454,6699
3454,22162
3454,20795
15179,10966
4857,13176
4857,21253
4857,17208
4857,3817
4857,21449
4857,20539
4857,9104
4857,2241
4857,9278
4857,12082
4857,16468
4857,14859
4857,8536
4857,17373
4857,21603
4857,6608
4857,16662
4857,12588
4857,13995
4857,17151
4857,5990
4857,17177
4857,15101
4857,4707
4857,749
4857,17857
4857,150
4857,16209
4857,5077
4857,18964
4857,12753
4857,4647
4857,3177
4857,22251
4857,3040
4857,8250
4857,5150
4857,3704
4857,12724
4857,11038
4857,18862
4857,11621
4857,4346
4857,5961
4857,21655
4857,13892
4857,5893
4857,807
4857,18264
4857,12886
4857,21507
4857,10473
4857,4656
4857,1884
4857,3160
4857,14786
4857,16160
4857,1127
4857,8251
4857,16632
4857,13460
4857,10347
4857,18586
4857,6041
4857,17399
4857,11019
4857,12725
4857,15293
4857,20169
4857,9850
4857,14815
4857,11708
4857,1222
4857,9354
4857,16425
4857,7201
4857,10529
4857,8216
4857,10613
4857,20762
4857,14168
4857,15591
4857,18007
4857,13751
4857,21367
4857,9009
4857,10853
4857,20651
4857,6700
4857,12577
4857,8298
4857,14364
4857,7354
4857,2899
4857,2481
4857,19073
4857,12944
4857,2860
4857,16664
4857,11390
4857,20653
4857,20363
4857,17575
4857,18271
4857,401
4857,19301
4857,15203
4857,7046
4857,19842
4857,21214
4857,14059
4857,2824
4857,20217
4857,1642
4857,12970
4857,6487
4857,15934
4857,1016
4857,17444
4857,11182
4857,15014
4857,11998
4857,18351
4857,3594
4857,6997
4857,16230
4857,9855
4857,18009
4857,261
4857,17394
4857,15761
4857,18050
4857,2718
4857,7621
4857,17922
4857,9540
4857,15523
4857,16
4857,15024
4857,1972
4857,13762
4857,3633
4857,10360
4857,6149
4857,3521
4857,19185
4857,2102
4857,7490
4857,8164
4857,20512
4857,5326
4857,20666
4857,4447
4857,10171
4857,20933
4857,18960
4857,15666
4857,6110
4857,20926
4857,18651
4857,20752
4857,22100
4857,11061
4857,18746
4857,22166
4857,10014
4857,680
4857,2886
4857,12843
4857,1375
4857,19652
4857,5374
4857,1117
4857,6362
4857,9672
4857,17580
4857,3369
4857,15136
4857,20521
4857,2891
4857,7070
4857,17457
4857,9616
4857,15238
4857,15231
4857,17778
4857,10894
4857,5023
4857,11221
4857,19420
4857,11159
4857,14105
4857,7325
4857,6927
4857,11841
4857,9344
4857,20595
4857,18714
4857,14302
4857,16337
4857,780
4857,10355
4857,13414
4857,1752
4857,7636
4857,17075
4857,11558
4857,11373
4857,6875
4857,13699
4857,7753
4857,1879
4857,1826
4857,1135
4857,11306
4857,10078
4857,13621
4857,19262
4857,7093
4857,9946
4857,592
4857,17353
4857,1055
4857,6744
4857,21824
4857,13348
4857,1163
4857,21166
4857,88
4857,11948
4857,18776
4857,12236
4857,20923
4857,18943
4857,15616
4857,3220
4857,15961
4857,12845
4857,14093
4857,8699
4857,11537
4857,4506
4857,15674
4857,15215
4857,17864
4857,20147
4857,3583
4857,3230
4857,14089
4857,2368
4857,74
4857,14046
4857,1193
4857,11175
14833,15798
14833,19182
14833,2787
14833,7336
14833,8367
14833,19437
14833,9509
14833,19791
14833,1579
14833,17822
14833,13076
14833,12089
14833,1496
14833,10823
14833,2781
14833,8041
14833,19246
14833,145
14833,9202
14833,8562
14833,7262
14833,17695
14833,20387
14833,6098
14833,673
14833,5077
14833,12666
14833,10436
14833,20552
14833,3309
14833,10699
14833,11610
14833,13598
14833,2065
14833,2151
14833,15057
14833,1862
14833,13710
14833,8007
14833,6408
14833,1828
14833,17573
14833,15507
14833,13389
14833,12582
14833,15344
14833,3311
14833,18972
14833,14885
14833,17375
14833,8552
14833,12883
14833,21111
14833,5338
14833,2032
14833,7556
14833,4312
14833,15712
14833,5774
14833,6012
14833,10896
14833,2404
14833,10727
14833,9034
14833,7558
14833,5194
14833,12716
14833,19251
14833,14959
14833,1714
14833,20692
14833,22261
14833,17958
14833,193
14833,10647
14833,18211
14833,8464
14833,3507
14833,17251
14833,1138
14833,4548
14833,463
14833,21647
14833,6915
14833,9152
14833,18625
14833,10818
14833,16757
14833,17101
14833,15729
14833,3249
14833,234
14833,12362
14833,5335
14833,18144
14833,20134
14833,6892
14833,10347
14833,666
14833,8728
14833,41
14833,1837
14833,17363
14833,21436
14833,13215
14833,21070
14833,4986
14833,19722
14833,14574
14833,21178
14833,9623
14833,15651
14833,306
14833,6270
14833,18896
14833,16284
14833,7726
14833,14053
14833,21786
14833,16530
14833,18270
14833,3303
14833,11699
14833,13286
14833,20727
14833,842
14833,15971
14833,3564
14833,21054
14833,17699
14833,11400
14833,111
14833,17344
14833,19767
14833,6477
14833,5516
14833,22016
14833,21999
14833,3949
14833,8148
14833,6707
14833,19946
14833,20283
14833,20946
14833,9525
14833,13810
14833,12519
14833,21172
14833,20107
14833,15371
14833,18244
14833,14027
14833,12345
14833,606
14833,12685
14833,6061
14833,9187
14833,6125
14833,21360
14833,4417
14833,12518
14833,15395
14833,8254
14833,4777
14833,6227
14833,16296
14833,8928
14833,4759
14833,6368
14833,16005
14833,2731
14833,16967
14833,4019
14833,6492
14833,4603
14833,2033
14833,20782
14833,19496
14833,6197
14833,5677
14833,10490
14833,9319
14833,9415
14833,17851
14833,14338
14833,482
14833,16378
14833,2428
14833,4241
14833,16629
14833,1606
14833,8959
14833,4533
14833,9987
14833,21887
14833,11182
14833,350
14833,19095
14833,16771
14833,21794
14833,19387
14833,19550
14833,3653
14833,7590
14833,17437
14833,5348
14833,14328
14833,16230
14833,15833
14833,114
14833,9855
14833,7154
14833,9049
14833,2718
14833,12037
14833,2507
14833,11664
14833,20885
14833,13652
14833,8128
14833,20805
14833,2756
14833,21692
14833,12005
14833,18553
14833,13542
14833,3678
14833,13844
14833,2997
14833,13221
14833,8388
14833,18276
14833,9440
14833,2509
14833,1232
14833,22066
14833,512
14833,19921
14833,15683
14833,13843
14833,20765
14833,837
14833,5824
14833,5645
14833,2199
14833,3028
14833,6042
14833,17304
14833,11732
14833,4179
14833,4948
14833,1403
14833,2161
14833,2716
14833,5932
14833,19110
14833,1467
14833,4515
14833,20724
14833,19682
14833,7308
14833,457
14833,19141
14833,3330
14833,5294
14833,14870
14833,21443
14833,6299
14833,10878
14833,20933
14833,20194
14833,1096
14833,20609
14833,7079
14833,5342
14833,12728
14833,5054
14833,12407
14833,1079
14833,2724
14833,12137
14833,17644
14833,17020
14833,11473
14833,12822
14833,7355
14833,13338
14833,12076
14833,1507
14833,17381
14833,19422
14833,20644
14833,18393
14833,17498
14833,1531
14833,9969
14833,23
14833,12524
14833,4825
14833,10517
14833,21899
14833,20488
14833,20909
14833,9828
14833,19516
14833,20095
14833,18997
14833,6904
14833,12470
14833,1117
14833,3369
14833,9675
14833,8109
14833,8624
14833,17279
14833,10984
14833,21154
14833,8674
14833,11985
14833,1670
14833,18161
14833,16769
14833,21539
14833,6414
14833,15709
14833,11728
14833,16302
14833,7036
14833,83
14833,14032
14833,6960
14833,6313
14833,2631
14833,18040
14833,10572
14833,10598
14833,15696
14833,21922
14833,3039
14833,6543
14833,19717
14833,19598
14833,2522
14833,9396
14833,13242
14833,7239
14833,13544
14833,6927
14833,18996
14833,19880
14833,9838
14833,21819
14833,16696
14833,1395
14833,21386
14833,13205
14833,637
14833,11646
14833,15204
14833,20063
14833,3807
14833,780
14833,15872
14833,17040
14833,17602
14833,6975
14833,13949
14833,6302
14833,4161
14833,1090
14833,12584
14833,15440
14833,20057
14833,5944
14833,12971
14833,4039
14833,10148
14833,15455
14833,10259
14833,21764
14833,17838
14833,16600
14833,11865
14833,1867
14833,22162
14833,19298
14833,1393
14833,1014
14833,1307
14833,15406
14833,18502
14833,16948
14833,20574
14833,3444
14833,16538
14833,14399
14833,18017
14833,17150
14833,18496
14833,21824
14833,7619
14833,15684
14833,15647
14833,6978
14833,20111
14833,3274
14833,19913
14833,5099
14833,1470
14833,11977
14833,2742
14833,2656
14833,12334
14833,13408
14833,21393
14833,11583
14833,7996
14833,7385
14833,14161
14833,5958
14833,18542
14833,19912
14833,15565
14833,10545
14833,13257
14833,17370
14833,3847
14833,7796
14833,21409
14833,1264
14833,4442
14833,22195
14833,7010
14833,2003
14833,5126
14833,3583
14833,20758
14833,1633
14833,12426
14833,15137
14833,14101
14833,2367
14833,10610
14833,8342
14833,15413
14833,4479
14833,223
14833,21545
5794,4762
5794,3762
5794,16454
5794,9079
5794,13892
5794,2713
5794,6714
5794,20309
5794,16355
5794,4087
5794,17812
5794,20940
5794,1227
5794,20700
5794,21456
5794,21787
5794,2688
5794,20098
5794,21773
5794,795
5794,21274
5794,2608
5794,19274
5794,797
5794,18412
5794,18055
5794,4488
5794,5507
5794,3597
5794,20230
5794,19303
7903,1339
7903,4630
7903,16794
7903,17005
7903,9833
7903,14879
7903,13478
7903,5661
7903,20365
7903,17831
7903,19710
7903,21396
7903,16097
7903,3319
7903,8943
7903,14176
7903,8823
7903,16113
7903,15328
7903,15065
7903,226
7903,18647
7903,8750
7903,4220
7903,10770
7903,5453
7903,401
7903,13971
7903,16236
7903,19842
7903,17688
7903,10330
7903,6997
7903,9540
7903,15523
7903,16
7903,15024
7903,1972
7903,20569
7903,20490
7903,11415
7903,315
7903,10360
7903,646
7903,19266
7903,7880
7903,3871
7903,14135
7903,12843
7903,5562
7903,8693
7903,3178
7903,14485
7903,18956
7903,546
7903,10935
7903,20007
7903,10816
7903,16447
7903,10196
7903,16413
7903,19824
7903,9836
7903,12697
7903,3343
7903,9352
7903,18501
6641,1339
6641,4630
6641,16794
6641,9833
6641,15937
6641,4263
6641,9705
6641,2524
6641,18887
6641,5750
6641,12247
6641,14879
6641,13478
6641,7059
6641,16517
6641,6641
6641,11636
6641,17831
6641,19710
6641,21396
6641,9203
6641,268
6641,13065
6641,9034
6641,15068
6641,6121
6641,13249
6641,16097
6641,3319
6641,8943
6641,17501
6641,16360
6641,14176
6641,8728
6641,12805
6641,14956
6641,8823
6641,12725
6641,15328
6641,15065
6641,17555
6641,4712
6641,5848
6641,18647
6641,4768
6641,8739
6641,7933
6641,13453
6641,9532
6641,17861
6641,10770
6641,5453
6641,401
6641,13971
6641,8154
6641,7570
6641,7599
6641,10530
6641,19842
6641,13559
6641,465
6641,21695
6641,17267
6641,17126
6641,14905
6641,17688
6641,10330
6641,8221
6641,11182
6641,15121
6641,22203
6641,6489
6641,6997
6641,4476
6641,9540
6641,15523
6641,16
6641,15024
6641,1972
6641,9247
6641,20569
6641,20490
6641,11415
6641,6866
6641,315
6641,20186
6641,11192
6641,22042
6641,10360
6641,564
6641,13217
6641,9566
6641,21952
6641,646
6641,6318
6641,839
6641,14575
6641,2954
6641,19266
6641,19327
6641,6524
6641,20484
6641,7880
6641,8947
6641,12884
6641,3136
6641,10449
6641,3871
6641,23
6641,1332
6641,1954
6641,10166
6641,17446
6641,15751
6641,2333
6641,14135
6641,12843
6641,5562
6641,478
6641,8693
6641,3178
6641,8999
6641,14485
6641,9786
6641,5656
6641,3916
6641,19274
6641,18956
6641,6743
6641,10935
6641,3448
6641,5572
6641,10218
6641,21014
6641,20007
6641,8945
6641,4005
6641,17379
6641,2945
6641,7592
6641,14869
6641,16447
6641,17543
6641,6875
6641,10196
6641,8788
6641,12971
6641,175
6641,5099
6641,9836
6641,8703
6641,12697
6641,19152
6641,485
6641,16693
6641,17596
6641,20825
6641,20240
6641,10946
6641,11254
6641,7358
6641,20828
6641,228
6641,9352
6641,18501
11605,17697
11605,8377
8762,13560
8762,15125
8762,17838
8762,2071
8637,13560
8637,15125
8637,21764
8637,17838
17847,17697
17847,8377
17847,13560
17847,16384
17847,20484
12508,9740
12508,19187
12508,5271
12508,8377
12508,5883
12508,13560
12508,8204
12508,16384
12508,21265
12508,20484
12508,10564
12508,15125
12508,17838
12508,13921
12508,12117
16643,17697
16643,8377
18613,9740
18613,5794
18613,8377
18613,7222
18613,13560
18613,16384
18613,21265
18613,20484
18613,10564
18613,13921
18613,2071
19960,1339
19960,17208
19960,18082
19960,21163
19960,13727
19960,3841
19960,20451
19960,18555
19960,13850
19960,16568
19960,15637
19960,8142
19960,20651
19960,6700
19960,9931
19960,5270
19960,20653
19960,8925
19960,12726
19960,8154
19960,10189
19960,16011
19960,19393
19960,13742
19960,8754
19960,24
19960,21278
19960,3884
19960,7138
19960,874
19960,9254
19960,7703
19960,6579
19960,551
19960,11519
19960,9087
19960,16740
19960,22172
19960,564
19960,21809
19960,7680
19960,9719
19960,6036
19960,5281
19960,1114
19960,164
19960,15612
19960,6115
19960,5791
19960,19229
19960,8109
19960,13684
19960,17980
19960,20256
19960,22075
19960,12955
19960,15759
19960,20475
19960,12341
19960,5360
19960,13093
19960,3807
19960,967
19960,6267
19960,16447
19960,9085
19960,14300
19960,18417
19960,20097
19960,13030
19960,8701
19960,3343
19960,14093
19960,11265
19960,10179
19960,1032
19960,6771
19960,18666
5938,2132
5938,17158
5938,22267
5938,11034
5938,9252
5938,295
5938,20346
5938,19327
5938,21117
5938,9745
5938,20051
5938,4911
5938,9565
5938,7669
5938,15899
5938,17853
5938,20020
5938,18635
5938,3986
5938,11472
16095,8834
16095,22102
16095,16616
16095,10994
16095,6441
16095,105
16095,2181
16095,15113
16095,13811
16095,2393
16095,20195
16095,19187
16095,6553
16095,17915
16095,6836
16095,20542
16095,10712
16095,13463
16095,6679
16095,12164
16095,18169
16095,18442
16095,5404
16095,7906
16095,12134
16095,345
16095,1676
16095,20017
16095,12582
16095,20365
16095,10126
16095,19109
16095,12883
16095,681
16095,704
16095,7230
16095,22087
16095,3709
16095,7766
16095,2421
16095,6833
16095,16095
16095,13956
16095,798
16095,11554
16095,6596
16095,19699
16095,6188
16095,21486
16095,9742
16095,5744
16095,20309
16095,15662
16095,1355
16095,1230
16095,8823
16095,8176
16095,13287
16095,11028
16095,16676
16095,1636
16095,12725
16095,19927
16095,19932
16095,22173
16095,14305
16095,6903
16095,17593
16095,2132
16095,1362
16095,17490
16095,21821
16095,9301
16095,15571
16095,11686
16095,9322
16095,20560
16095,6475
16095,9571
16095,21411
16095,7463
16095,12542
16095,4732
16095,6675
16095,12519
16095,5269
16095,11048
16095,1882
16095,3748
16095,5620
16095,13560
16095,1197
16095,2170
16095,162
16095,3726
16095,18322
16095,11878
16095,322
16095,635
16095,5695
16095,15826
16095,18777
16095,6403
16095,7591
16095,7123
16095,7668
16095,12464
16095,9319
16095,10088
16095,19300
16095,14059
16095,8665
16095,7142
16095,3449
16095,6120
16095,3279
16095,1703
16095,17262
16095,10330
16095,10371
16095,19002
16095,15599
16095,14685
16095,5653
16095,9452
16095,4956
16095,20623
16095,8425
16095,19705
16095,16576
16095,20527
16095,9001
16095,21414
16095,13794
16095,21381
16095,13844
16095,3483
16095,13221
16095,12777
16095,1973
16095,18276
16095,13234
16095,20354
16095,7546
16095,10844
16095,10265
16095,22131
16095,5796
16095,13789
16095,7711
16095,19700
16095,8201
16095,21465
16095,10905
16095,11843
16095,12296
16095,5974
16095,2568
16095,2119
16095,18079
16095,11648
16095,14870
16095,22247
16095,16299
16095,7948
16095,4690
16095,21432
16095,21265
16095,9878
16095,19327
16095,9050
16095,21117
16095,885
16095,17863
16095,14586
16095,8037
16095,15159
16095,14568
16095,21350
16095,3136
16095,20514
16095,6199
16095,14283
16095,5732
16095,14422
16095,11473
16095,21773
16095,1507
16095,14611
16095,3971
16095,10517
16095,1242
16095,17050
16095,15938
16095,12371
16095,5791
16095,11419
16095,26
16095,12843
16095,1776
16095,18097
16095,21451
16095,14258
16095,805
16095,1376
16095,5464
16095,2704
16095,8211
16095,6979
16095,1908
16095,9786
16095,1477
16095,19498
16095,8589
16095,4089
16095,4668
16095,21539
16095,16143
16095,4853
16095,984
16095,5726
16095,6743
16095,6296
16095,16484
16095,8871
16095,12791
16095,10598
16095,20220
16095,6207
16095,20475
16095,21493
16095,11392
16095,10816
16095,7470
16095,17379
16095,18412
16095,5167
16095,13219
16095,8281
16095,14256
16095,16737
16095,20179
16095,780
16095,10355
16095,3312
16095,21662
16095,20382
16095,9881
16095,1273
16095,13944
16095,7144
16095,12584
16095,21233
16095,15640
16095,2205
16095,11306
16095,8443
16095,17858
16095,12971
16095,7651
16095,4039
16095,6428
16095,14319
16095,2914
16095,9582
16095,10148
16095,16929
16095,21764
16095,881
16095,7685
16095,8338
16095,7955
16095,17178
16095,3228
16095,9140
16095,13228
16095,6493
16095,15362
16095,21210
16095,16650
16095,10513
16095,8701
16095,1260
16095,10057
16095,3986
16095,12135
16095,14721
16095,19641
16095,9836
16095,15855
16095,15500
16095,2491
16095,20825
16095,12385
16095,14832
16095,8965
16095,18129
16095,21197
16095,21834
16095,13655
16095,9643
16095,14887
16095,15909
16095,3583
16095,5927
16095,21380
16095,400
16095,6757
16095,17907
16095,10707
8982,17858
8982,16950
798,16384
2777,8052
2777,9856
19689,1043
19689,12893
19689,4917
19689,9521
19689,20828
19689,17391
19932,8965
11808,20419
11808,21537
11808,8271
11808,9740
11808,8268
11808,4941
11808,16833
11808,5867
11808,14912
11808,7906
11808,11038
11808,16900
11808,13172
11808,19051
11808,7896
11808,15637
11808,6873
11808,12723
11808,17130
11808,13106
11808,1127
11808,1667
11808,19065
11808,20183
11808,17881
11808,20794
11808,13497
11808,14398
11808,16980
11808,21048
11808,9961
11808,7159
11808,19509
11808,1069
11808,13680
11808,18322
11808,8585
11808,13436
11808,2594
11808,12860
11808,3010
11808,12902
11808,4402
11808,11057
11808,21094
11808,2589
11808,7467
11808,5674
11808,4603
11808,14373
11808,21554
11808,15772
11808,8754
11808,7729
11808,14742
11808,15301
11808,21925
11808,6789
11808,9846
11808,1210
11808,18313
11808,11192
11808,18028
11808,12820
11808,14941
11808,15692
11808,3585
11808,21120
11808,6104
11808,2161
11808,13116
11808,3828
11808,13119
11808,13496
11808,21443
11808,9127
11808,1096
11808,11417
11808,12554
11808,5769
11808,18965
11808,13625
11808,21274
11808,6576
11808,7414
11808,1754
11808,16223
11808,6279
11808,15426
11808,15923
11808,11837
11808,8383
11808,20594
11808,15337
11808,20067
11808,15774
11808,18513
11808,6293
11808,10767
11808,13417
11808,2876
11808,15200
11808,5010
11808,21897
11808,14382
11808,5095
11808,31
11808,1354
11808,12353
11808,6327
11808,4192
11808,12226
11808,9597
11808,63
11808,19641
11808,2233
11808,17735
11808,5565
11808,3276
12539,7333
17593,3009
17593,11802
17593,5271
17593,13327
17593,8063
17593,17697
17593,12512
17593,798
17593,12539
17593,15104
17593,5222
17593,4756
17593,1567
17593,17044
17593,1737
17593,20217
17593,3089
17593,17139
17593,11423
17593,18658
17593,13120
17593,4024
17593,22060
17593,8947
17593,15811
17593,2398
17593,5409
17593,21749
17593,13138
17593,20128
17593,9565
17593,19870
17593,19373
17593,15172
17593,13603
17593,4334
17593,7333
17593,17838
17593,13921
17593,11950
17593,1163
17593,3844
17593,14736
17593,9836
17593,12117
17593,9824
17593,14093
17593,3453
2132,17044
2132,2924
2132,19870
2132,19373
2132,13797
2132,13921
16297,21945
16297,2618
16297,18930
16297,11343
16297,16251
16297,16875
2261,20991
2261,12807
2261,16251
1425,21945
1425,20991
1425,2291
1425,10039
1425,21861
1425,18148
1425,3524
1425,1043
1425,12893
1425,9521
1425,16251
1425,16832
1425,17739
1425,17391
13547,16160
13547,2132
13547,2899
13547,13238
13547,3437
13547,6108
13547,22000
13547,16401
13547,2608
4220,4309
4220,5204
4220,10443
4220,5187
4220,16076
4220,5168
4220,16384
4220,20991
4220,9273
4220,17896
4220,22000
4220,15793
4220,18545
4220,2608
4220,12011
4220,17838
4220,15558
2714,13323
8106,10977
8106,10051
8106,13215
8106,17730
8106,18084
8106,20560
8106,4545
8106,21957
8106,19190
8106,20368
8106,12688
8106,2039
8106,2188
8106,3554
10602,19830
10602,9587
10602,12089
10602,15369
10602,5643
10602,11725
10602,198
10602,8200
10602,20589
10602,5766
10602,19037
10602,12903
10602,8668
10602,16260
10602,3885
10602,12199
10602,13933
10602,1775
10602,15292
10602,6560
10602,11554
10602,5988
10602,16757
10602,5171
10602,10431
10602,12362
10602,5295
10602,5714
10602,12266
10602,20320
10602,13664
10602,17690
10602,8952
10602,11172
10602,9422
10602,1882
10602,14749
10602,20953
10602,8254
10602,10020
10602,16435
10602,17622
10602,10602
10602,20700
10602,4839
10602,14429
10602,2430
10602,11349
10602,22080
10602,14115
10602,16852
10602,17767
10602,7743
10602,13221
10602,3623
10602,3840
10602,21857
10602,10673
10602,20858
10602,8164
10602,14995
