chemical,map
CID-560456,22285
CID-90878346,22286
CID-15311521,22287
CID-10688,22288
CID-86583131,22289
CID-10280718,22290
CID-44432893,22291
CID-29981496,22292
CID-683940,22293
CID-10338529,22294
CID-44381479,22295
CID-126024,22296
CID-126801,22297
CID-24825341,22298
CID-38687,22299
CID-53924966,22300
CID-15354102,22301
CID-12994191,22302
CID-18504431,22303
CID-56849576,22304
CID-55914,22305
CID-46241616,22306
CID-35139,22307
CID-19430479,22308
CID-14726963,22309
CID-21910370,22310
CID-22813086,22311
CID-22348652,22312
CID-21578869,22313
CID-97302,22314
CID-10335984,22315
CID-16422,22316
CID-57775218,22317
CID-18703006,22318
CID-10437261,22319
CID-11675876,22320
CID-46832504,22321
CID-11620,22322
CID-10380647,22323
CID-824686,22324
CID-3077330,22325
CID-83589,22326
CID-16104907,22327
CID-44472922,22328
CID-90959701,22329
CID-68311594,22330
CID-22256060,22331
CID-78225797,22332
CID-131980,22333
CID-13266316,22334
CID-656705,22335
CID-71710900,22336
CID-159927,22337
CID-128364,22338
CID-50986250,22339
CID-45103723,22340
CID-2377,22341
CID-44462719,22342
CID-11188098,22343
CID-159464,22344
CID-49818667,22345
CID-91305249,22346
CID-86038827,22347
CID-94168,22348
CID-57521788,22349
CID-23648284,22350
CID-4854,22351
CID-137174,22352
CID-129647,22353
CID-10831286,22354
CID-92096,22355
CID-460621,22356
CID-17928196,22357
CID-3531687,22358
CID-21660794,22359
CID-10176707,22360
CID-3946,22361
CID-10032206,22362
CID-32022,22363
CID-49781452,22364
CID-10410160,22365
CID-24813967,22366
CID-150839,22367
CID-90750616,22368
CID-66763,22369
CID-3292433,22370
CID-656487,22371
CID-5460767,22372
CID-44438676,22373
CID-2760711,22374
CID-270810,22375
CID-44397698,22376
CID-788076,22377
CID-688813,22378
CID-25014775,22379
CID-18611905,22380
CID-53323657,22381
CID-9805481,22382
CID-71728240,22383
CID-22556,22384
CID-592165,22385
CID-3081031,22386
CID-11575799,22387
CID-9819672,22388
CID-56833735,22389
CID-10120467,22390
CID-11496925,22391
CID-5384811,22392
CID-350245,22393
CID-153873,22394
CID-44396110,22395
CID-10326140,22396
CID-73348402,22397
CID-396510,22398
CID-6428542,22399
CID-57641364,22400
CID-16129630,22401
CID-3073,22402
CID-24953029,22403
CID-18219362,22404
CID-722448,22405
CID-3451,22406
CID-169724,22407
CID-9854466,22408
CID-807538,22409
CID-231054,22410
CID-91226098,22411
CID-9825874,22412
