disease,map
ICD10-S50.7,203242
ICD10-T56.1,203243
ICD10-I31.9,203244
ICD10-F50.8,203245
ICD10-R63.3,203246
ICD10-C69,203247
ICD10-B15,203248
ICD10-K76.9,203249
ICD10-G44.20,203250
ICD10-I67.7,203251
ICD10-F31.3,203252
ICD10-B39.2,203253
ICD10-N81.2,203254
ICD10-I05.1,203255
ICD10-M42.0,203256
ICD10-G12.8,203257
ICD10-S46.3,203258
ICD10-K76.7,203259
ICD10-S14.3,203260
ICD10-H90,203261
ICD10-S94,203262
ICD10-K21.9,203263
ICD10-M47.9,203264
ICD10-O01.0,203265
ICD10-C91.60,203266
ICD10-T56,203267
ICD10-Z11.8,203268
ICD10-M24.2,203269
ICD10-P12.2,203270
ICD10-I25.2,203271
ICD10-N89.5,203272
ICD10-Q03.0,203273
ICD10-N13.30,203274
ICD10-L66.4,203275
ICD10-IV,203276
ICD10-O07.6,203277
ICD10-M33.9,203278
ICD10-I61.5,203279
ICD10-O45,203280
ICD10-K11.7,203281
ICD10-F00,203282
ICD10-Q28.2,203283
ICD10-H46.0,203284
ICD10-R06.1,203285
ICD10-E75.22,203286
ICD10-A31.8,203287
ICD10-H49.2,203288
ICD10-H02.10,203289
ICD10-C39,203290
ICD10-S62.4,203291
ICD10-H35.07,203292
ICD10-C20,203293
ICD10-S06.5,203294
ICD10-H44.9,203295
ICD10-S91.7,203296
ICD10-D86.3,203297
ICD10-L92.1,203298
ICD10-G61.0,203299
ICD10-E63,203300
ICD10-C91.00,203301
ICD10-M53.2X2,203302
ICD10-J66,203303
ICD10-E88.3,203304
ICD10-H40.13,203305
ICD10-D51.1,203306
ICD10-C91.31,203307
ICD10-E28.3,203308
ICD10-T14.4,203309
ICD10-N47,203310
ICD10-K86.8,203311
ICD10-C86.5,203312
ICD10-L65.1,203313
ICD10-L66.9,203314
ICD10-C77.2,203315
ICD10-E71.510,203316
ICD10-B74.3,203317
ICD10-J34.1,203318
ICD10-E12,203319
ICD10-B70.0,203320
ICD10-K00,203321
ICD10-T93.5,203322
ICD10-A09.9,203323
ICD10-E75.6,203324
ICD10-D07.4,203325
ICD10-E83.4,203326
ICD10-T57.0,203327
ICD10-N13.0,203328
ICD10-C62.90,203329
ICD10-M17,203330
ICD10-K41,203331
ICD10-S97.1,203332
ICD10-S25.1,203333
ICD10-H91.93,203334
ICD10-S75.0,203335
ICD10-H90.6,203336
ICD10-Q56.2,203337
ICD10-K82.4,203338
ICD10-F31.6,203339
ICD10-Q61.8,203340
ICD10-S93.5,203341
ICD10-L70.9,203342
ICD10-F33,203343
ICD10-S92,203344
ICD10-E78.49,203345
ICD10-S62,203346
ICD10-K52,203347
ICD10-A44.1,203348
ICD10-M24.0,203349
ICD10-K29.3,203350
ICD10-L41.2,203351
ICD10-N83.5,203352
ICD10-K75.9,203353
ICD10-D01.5,203354
ICD10-S92.7,203355
ICD10-D07.6,203356
ICD10-J47,203357
ICD10-M23.0,203358
ICD10-R16.1,203359
ICD10-J40,203360
ICD10-H20.82,203361
ICD10-N81.3,203362
ICD10-L08.0,203363
ICD10-A96.2,203364
ICD10-Q32,203365
ICD10-I63,203366
ICD10-S92.2,203367
ICD10-E63.0,203368
ICD10-N89.1,203369
ICD10-B48.8,203370
ICD10-K70.1,203371
ICD10-B71,203372
ICD10-H81.09,203373
ICD10-M96,203374
ICD10-D02.1,203375
ICD10-S11.8,203376
ICD10-E75.24,203377
ICD10-S56.2,203378
ICD10-G40,203379
ICD10-T78,203380
ICD10-D53.0,203381
ICD10-N39.41,203382
ICD10-B66.0,203383
ICD10-G40.A,203384
ICD10-O03.9,203385
ICD10-S13.2,203386
ICD10-J38.5,203387
ICD10-Z00.6,203388
ICD10-Q85.1,203389
ICD10-R29.1,203390
ICD10-H47.4,203391
ICD10-M04.8,203392
ICD10-H55.00,203393
ICD10-D46.9,203394
ICD10-E70.30,203395
ICD10-Q87.89,203396
ICD10-H46,203397
ICD10-J93.0,203398
ICD10-H47.039,203399
ICD10-S76,203400
ICD10-J68.8,203401
ICD10-M87.0,203402
ICD10-S42.1,203403
ICD10-I79,203404
ICD10-R11.2,203405
ICD10-H93.9,203406
ICD10-O03.2,203407
ICD10-L12.9,203408
ICD10-S81.7,203409
ICD10-K90.4,203410
ICD10-K86.0,203411
ICD10-E72.52,203412
ICD10-H49.81,203413
ICD10-K56.609,203414
ICD10-E83.1,203415
ICD10-M72.1,203416
ICD10-K76.4,203417
ICD10-D44.8,203418
ICD10-H35.0,203419
ICD10-Q78.1,203420
ICD10-Q85.9,203421
ICD10-S13,203422
ICD10-L60.5,203423
ICD10-Q96.9,203424
ICD10-D84.1,203425
ICD10-B41.7,203426
ICD10-J43.2,203427
ICD10-K91.0,203428
ICD10-G47.1,203429
ICD10-R35,203430
ICD10-E70.331,203431
ICD10-C45.9,203432
ICD10-Q80.9,203433
ICD10-Q20,203434
ICD10-F15.2,203435
ICD10-C22.2,203436
ICD10-D22,203437
ICD10-Q44.7,203438
ICD10-M77.1,203439
ICD10-K51.2,203440
ICD10-D48.6,203441
ICD10-M62.0,203442
ICD10-O06.5,203443
ICD10-O07.3,203444
ICD10-E77.8,203445
ICD10-N13.8,203446
ICD10-D00.1,203447
ICD10-J30.0,203448
ICD10-N30.1,203449
ICD10-G47.2,203450
ICD10-G57,203451
ICD10-K31.1,203452
ICD10-L40,203453
ICD10-D51.0,203454
ICD10-R32,203455
ICD10-L90,203456
ICD10-C30.1,203457
ICD10-S74.7,203458
ICD10-N03.2,203459
ICD10-M31.8,203460
ICD10-G25.81,203461
ICD10-T71,203462
ICD10-H35.30,203463
ICD10-M83.5,203464
ICD10-Z76.5,203465
ICD10-D70,203466
ICD10-S37.2,203467
ICD10-K31.5,203468
ICD10-B16,203469
ICD10-G12.1,203470
ICD10-E86.0,203471
ICD10-E34.3,203472
ICD10-N28,203473
ICD10-E88.42,203474
ICD10-M08.9,203475
ICD10-B34,203476
ICD10-B08.1,203477
ICD10-C69.0,203478
ICD10-I95.9,203479
ICD10-D83,203480
ICD10-I88.1,203481
ICD10-K03.5,203482
ICD10-O05.9,203483
ICD10-C30.0,203484
ICD10-A92.0,203485
ICD10-Z10.8,203486
ICD10-G60.9,203487
ICD10-F79,203488
ICD10-C04.1,203489
ICD10-S58,203490
ICD10-N98.8,203491
ICD10-E75.09,203492
ICD10-J84.1,203493
ICD10-N20,203494
ICD10-F23.9,203495
ICD10-A48.1,203496
ICD10-K92.1,203497
ICD10-P12.1,203498
ICD10-G93.7,203499
ICD10-Q10.3,203500
ICD10-E76.01,203501
ICD10-Q65-Q79,203502
ICD10-I97.0,203503
ICD10-S03,203504
ICD10-N49.1,203505
ICD10-D64.9,203506
ICD10-I44.0,203507
ICD10-S88.1,203508
ICD10-S33,203509
ICD10-A23.9,203510
ICD10-M89.3,203511
ICD10-H26.4,203512
ICD10-J93.8,203513
ICD10-R43.0,203514
ICD10-I01.9,203515
ICD10-E55,203516
ICD10-H50.1,203517
ICD10-L21,203518
ICD10-K31.7,203519
ICD10-M40,203520
ICD10-Q81.9,203521
ICD10-G47.3,203522
ICD10-N90.0,203523
ICD10-M46.1,203524
ICD10-J41.0,203525
ICD10-I20-I25,203526
ICD10-F30.9,203527
ICD10-M45,203528
ICD10-I77.1,203529
ICD10-E23,203530
ICD10-D58.0,203531
ICD10-E80.6,203532
ICD10-M67.0,203533
ICD10-M53.2,203534
ICD10-L98.3,203535
ICD10-H33.3,203536
ICD10-N83.6,203537
ICD10-C85.9,203538
ICD10-C90,203539
ICD10-J34.2,203540
ICD10-F98.4,203541
ICD10-Q61,203542
ICD10-I46,203543
ICD10-S54.2,203544
ICD10-L92,203545
ICD10-L10.2,203546
ICD10-M54.1,203547
ICD10-D02.0,203548
ICD10-W00-X59,203549
ICD10-N91.1,203550
ICD10-I50.0,203551
ICD10-Z12.2,203552
ICD10-F39,203553
ICD10-M83,203554
ICD10-S03.0,203555
ICD10-Q33.8,203556
ICD10-H33.0,203557
ICD10-K55.9,203558
ICD10-L40.9,203559
ICD10-Z04.0,203560
ICD10-E74.31,203561
ICD10-F84,203562
ICD10-I44.3,203563
ICD10-E27.0,203564
ICD10-G47.4,203565
ICD10-S36.4,203566
ICD10-C56,203567
ICD10-L59.0,203568
ICD10-N82.3,203569
ICD10-Z01.1,203570
ICD10-Q65.8,203571
ICD10-H53.15,203572
ICD10-J04,203573
