gene,map
Entrez-389765,1
Entrez-11005,2
Entrez-4582,3
Entrez-100616466,4
Entrez-100616123,5
Entrez-100500828,6
Entrez-200261,7
Entrez-51458,8
Entrez-994,9
Entrez-161931,10
Entrez-7286,11
Entrez-245802,12
Entrez-56954,13
Entrez-80853,14
Entrez-26013,15
Entrez-406979,16
Entrez-91948,17
Entrez-714,18
Entrez-4624,19
Entrez-2005,20
Entrez-3797,21
Entrez-340529,22
Entrez-3162,23
Entrez-4862,24
Entrez-83860,25
Entrez-63940,26
Entrez-136288,27
Entrez-2873,28
Entrez-1662,29
Entrez-83896,30
Entrez-56853,31
Entrez-2069,32
Entrez-6874,33
Entrez-5746,34
Entrez-51199,35
Entrez-51776,36
Entrez-285126,37
Entrez-6737,38
Entrez-401082,39
Entrez-81554,40
Entrez-55964,41
Entrez-259291,42
Entrez-664614,43
Entrez-441457,44
Entrez-84233,45
Entrez-100500817,46
Entrez-3739,47
Entrez-56341,48
Entrez-647088,49
Entrez-3955,50
Entrez-8484,51
Entrez-345274,52
Entrez-3993,53
Entrez-100131755,54
Entrez-55858,55
Entrez-728,56
Entrez-342979,57
Entrez-342898,58
Entrez-1057,59
Entrez-4352,60
Entrez-93649,61
Entrez-9350,62
Entrez-390259,63
Entrez-6607,64
Entrez-57468,65
Entrez-7733,66
Entrez-342035,67
Entrez-55366,68
Entrez-9859,69
Entrez-6284,70
Entrez-6017,71
Entrez-245973,72
Entrez-90637,73
Entrez-84517,74
Entrez-11278,75
Entrez-6125,76
Entrez-23604,77
Entrez-344905,78
Entrez-4547,79
Entrez-10903,80
Entrez-51559,81
Entrez-23731,82
Entrez-79607,83
Entrez-84996,84
Entrez-100500835,85
Entrez-93190,86
Entrez-6159,87
Entrez-55088,88
Entrez-84033,89
Entrez-414060,90
Entrez-25816,91
Entrez-136,92
Entrez-8036,93
Entrez-1548,94
Entrez-57547,95
Entrez-558,96
Entrez-254263,97
Entrez-693218,98
Entrez-353164,99
Entrez-8313,100
Entrez-116437,101
Entrez-100506428,102
Entrez-6414,103
Entrez-8451,104
Entrez-9925,105
Entrez-391365,106
Entrez-55332,107
Entrez-6691,108
Entrez-114805,109
Entrez-7637,110
Entrez-5900,111
Entrez-116987,112
Entrez-84187,113
Entrez-100847072,114
Entrez-619562,115
Entrez-84221,116
Entrez-643542,117
Entrez-442914,118
Entrez-83639,119
Entrez-6991,120
Entrez-1788,121
Entrez-150696,122
Entrez-10867,123
Entrez-153443,124
Entrez-84164,125
Entrez-162972,126
Entrez-26504,127
Entrez-100422982,128
Entrez-23644,129
Entrez-126393,130
Entrez-677769,131
Entrez-10155,132
Entrez-89866,133
Entrez-282770,134
Entrez-5516,135
Entrez-11181,136
Entrez-55845,137
Entrez-111,138
Entrez-6599,139
Entrez-126637,140
Entrez-50614,141
Entrez-10873,142
Entrez-8690,143
Entrez-378,144
Entrez-64601,145
Entrez-594855,146
Entrez-57178,147
Entrez-5211,148
Entrez-83888,149
Entrez-9690,150
Entrez-9094,151
Entrez-259197,152
Entrez-55195,153
Entrez-8661,154
Entrez-504189,155
Entrez-51378,156
Entrez-79840,157
Entrez-120787,158
Entrez-10401,159
Entrez-100113390,160
Entrez-64130,161
Entrez-10424,162
Entrez-157247,163
Entrez-64207,164
Entrez-119694,165
Entrez-64147,166
Entrez-54455,167
Entrez-64689,168
Entrez-9123,169
Entrez-91653,170
Entrez-3172,171
Entrez-728640,172
Entrez-259292,173
Entrez-100302136,174
Entrez-682,175
Entrez-85028,176
Entrez-6868,177
Entrez-388714,178
Entrez-89910,179
Entrez-51569,180
Entrez-100131094,181
Entrez-100287178,182
Entrez-259215,183
Entrez-54972,184
Entrez-1833,185
Entrez-1043,186
Entrez-407008,187
Entrez-653483,188
Entrez-54581,189
Entrez-84775,190
Entrez-57572,191
Entrez-10590,192
Entrez-6615,193
Entrez-5784,194
