drug,map
CID-11588169,187467
CID-78357816,187468
CID-444569,187469
CID-45483408,187470
CID-101711,187471
CID-16110306,187472
CID-16130395,187473
CID-11849514,187474
CID-44399141,187475
CID-16202050,187476
CID-73755222,187477
CID-83242,187478
CID-131153,187479
CID-46936357,187480
CID-10958461,187481
CID-35295787,187482
CID-10123676,187483
CID-6918123,187484
CID-5479530,187485
CID-11702208,187486
CID-11189610,187487
CID-45267314,187488
CID-9936947,187489
CID-17892465,187490
CID-10332554,187491
CID-9944114,187492
CID-73755255,187493
CID-44445395,187494
CID-44330968,187495
CID-5288464,187496
CID-9995251,187497
CID-91827384,187498
CID-44337349,187499
CID-448087,187500
CID-5329454,187501
CID-16132429,187502
CID-448294,187503
CID-5329845,187504
CID-11581319,187505
CID-446611,187506
CID-44431961,187507
CID-44408397,187508
CID-5282322,187509
CID-10421932,187510
CID-9906198,187511
CID-15627855,187512
CID-131268,187513
CID-37015,187514
CID-25069590,187515
CID-46901783,187516
CID-44393734,187517
CID-46943415,187518
CID-44457420,187519
CID-24892822,187520
CID-44451667,187521
CID-3473392,187522
CID-44421953,187523
CID-11393306,187524
CID-60657,187525
CID-6102691,187526
CID-170833,187527
CID-11737492,187528
CID-44406548,187529
CID-46704078,187530
CID-10261531,187531
CID-448979,187532
CID-51346816,187533
CID-23642304,187534
CID-44588839,187535
CID-122017,187536
CID-9854142,187537
CID-44421948,187538
CID-2810413,187539
CID-46871638,187540
CID-25190759,187541
CID-10857469,187542
CID-44613578,187543
CID-44564004,187544
CID-1403654,187545
CID-5497186,187546
CID-16662746,187547
CID-25129135,187548
CID-440053,187549
CID-448763,187550
CID-46901613,187551
CID-131704237,187552
CID-69561,187553
CID-4037,187554
CID-445713,187555
CID-44428107,187556
CID-5326914,187557
CID-10352428,187558
CID-168131,187559
CID-175805,187560
CID-6450807,187561
CID-9864881,187562
CID-9859366,187563
CID-24861406,187564
CID-46880545,187565
CID-11846149,187566
CID-44321040,187567
CID-24901704,187568
CID-11702887,187569
CID-54679224,187570
CID-44150852,187571
CID-11044829,187572
CID-446934,187573
CID-12341497,187574
CID-44341234,187575
CID-5288147,187576
CID-44348645,187577
CID-44435020,187578
CID-25208746,187579
CID-13687210,187580
CID-11621207,187581
CID-3618472,187582
CID-11964504,187583
CID-44414840,187584
CID-196970,187585
CID-11518822,187586
CID-44396220,187587
CID-25273570,187588
CID-44448616,187589
CID-11188669,187590
CID-131131,187591
CID-6918509,187592
CID-24866288,187593
CID-44479457,187594
CID-447099,187595
CID-67505836,187596
CID-9543420,187597
CID-10360970,187598
CID-44393480,187599
CID-24827761,187600
CID-71402018,187601
CID-756701,187602
CID-10176607,187603
CID-447048,187604
CID-10654599,187605
CID-16203354,187606
CID-23186964,187607
CID-449346,187608
CID-46703769,187609
CID-52950138,187610
CID-25210130,187611
CID-35523889,187612
CID-44391650,187613
CID-71300326,187614
CID-29293599,187615
CID-5486198,187616
CID-11722634,187617
CID-444020,187618
CID-11514386,187619
CID-219564,187620
CID-269395,187621
CID-10561174,187622
