chemical_pubchemcid,protein_entrez
63845,6479
63845,9386
29896,14267
29896,15757
59914,17780
142961,18999
116831,7685
101021,14104
101021,11252
101021,2789
98155,21204
118223,14454
118223,13791
118223,4470
118223,13868
181465,4470
146630,14454
58855,9797
88623,52
103562,5794
91030,2265
121237,6843
121237,8947
121237,1408
36257,21982
112833,2107
56068,19773
96608,377
96608,965
96608,5668
96608,19164
171836,21858
88967,765
97779,21994
97779,20458
187192,3974
43551,3974
28318,3974
130855,12969
57480,12969
185706,12969
111126,16132
107207,11378
107207,16466
150298,20161
139952,20161
80608,10879
113376,17591
113376,3089
63030,6294
161841,6294
123499,6294
33102,6294
125098,19151
125798,9809
164317,6294
72805,6294
153170,6294
137391,6294
165685,8801
156970,4354
25985,4354
100197,4354
183747,12585
88294,12585
94127,5140
94127,1010
151560,5140
85753,5140
85753,1010
96474,5140
96474,1010
64951,5140
64951,1010
182202,5140
182202,1010
146770,5140
146770,1010
114941,5140
114941,1010
35202,5140
35202,1010
145251,5140
145251,1010
70489,5140
70489,1010
114109,19225
147582,19225
137190,19225
101581,19225
80196,19225
171754,13191
155380,20161
64549,21100
175651,21100
121783,12699
110260,12699
66506,12699
91419,12699
48754,2589
104205,11979
104205,15186
174537,11979
44270,11979
37663,18750
31590,18750
176189,10346
75746,10346
40991,10346
40991,10362
179801,10346
179801,10362
57749,10346
84179,19326
84179,13976
175160,19326
175160,13976
27269,19326
27269,13976
30978,19326
30978,13976
109769,19326
109769,13976
167397,19326
29251,19326
29251,13976
47497,19326
47497,13976
180496,19326
180496,13976
120453,13976
181885,19326
181885,13976
72797,19326
73319,19326
73319,13976
138962,13976
107349,19326
107349,13976
72471,19326
124020,19326
126884,19326
126884,13976
99876,19326
172528,19326
172528,13976
25110,19326
25110,13976
156879,7376
118592,7376
111467,19497
150354,19497
155109,19497
100842,19497
60131,19497
101824,19497
167200,19497
53922,19497
107665,20161
70806,21269
127386,21269
78296,21269
167478,21269
138976,21269
62717,21269
114942,21269
160698,21269
29246,13191
171997,22274
53601,22274
94357,22274
127894,19497
33230,19497
52080,19497
85942,19497
61257,16649
146493,11514
44560,11514
48286,11514
176515,11514
49189,11149
169041,3054
77496,17428
77496,5618
77496,21990
77496,18326
132548,10879
139904,10879
129938,10879
29357,10879
109098,10879
31238,11195
95963,13560
24241,17926
108444,17926
25739,17926
148882,989
151344,989
140873,10222
63766,10222
155746,10222
138481,10222
145479,8801
145479,15099
145479,2589
131935,8801
131935,15099
131935,2589
113550,8801
113550,15099
113550,2589
34155,8801
34155,15099
34155,2589
115370,16793
61087,16793
57609,16793
129824,16793
69447,16793
47100,16793
162690,16793
89462,16391
30620,20313
28355,10116
151366,1425
117335,1425
134945,1425
102497,1425
33982,12699
163947,12699
118319,3587
42362,3587
71557,3587
30341,3587
32441,3587
23762,3587
186207,12858
43827,17214
88846,21622
165887,4333
165887,11230
79766,11230
122996,4333
122996,11230
164430,11230
169268,11230
148724,4333
148724,11230
46916,4333
46916,11230
148741,4354
114213,15099
109301,2589
151773,12969
157462,12969
92921,12969
148314,12969
93959,12969
157674,12969
164414,12969
105086,954
132525,954
144895,954
141176,2589
139092,2589
165671,12056
38106,12056
30965,12056
147901,9809
39181,9809
185487,9809
90893,9809
90893,5596
172003,9809
40155,9809
54611,9809
121721,9809
138362,9809
87260,9809
65486,9809
58358,16132
43202,568
78582,13976
74822,13976
187180,13976
151219,13976
186666,13976
52218,2327
152729,15204
138918,8801
138918,15099
138918,2589
128296,6024
49670,6024
41630,6024
22521,6024
133061,6024
60896,6024
146838,8801
146838,2589
98925,8801
98925,2589
60723,8801
60723,2589
146948,7454
176019,19790
112787,6294
84053,6294
128165,18600
155592,18600
121562,8348
121562,18827
148292,4354
165299,4354
154961,4354
140337,8801
140337,2589
66645,8801
66645,2589
185711,8801
185711,2589
76017,8801
76017,2589
150289,8801
150289,2589
139116,8801
139116,2589
165939,8801
165939,2589
144932,8801
144932,2589
27724,8801
27724,2589
185316,8801
185316,15099
185316,2589
130640,8801
130640,15099
130640,2589
71069,8801
71069,15099
71069,2589
158453,8801
158453,2589
166653,8801
166653,15099
166653,2589
112308,20408
28668,20408
58635,20408
93524,20408
74454,18124
151844,18124
68617,18124
75640,18124
181914,18124
47759,18750
169844,18750
173671,18750
52654,18750
147164,6555
163345,6555
27130,6555
150054,6555
57371,6555
91210,6555
132938,6555
154286,6555
61390,6555
139882,6555
30417,6555
163930,6555
121261,6555
58954,6555
62555,6555
115941,6555
106559,2736
148159,18124
171525,18124
32400,14016
185288,14016
148120,14016
152857,18664
152857,14016
87457,4354
68707,4354
55188,4354
100929,4354
92582,546
138998,546
72601,21060
58898,546
140548,546
130028,546
148731,546
76424,546
103253,6024
96677,6893
96677,20313
182115,6893
46731,6893
31562,6893
114555,6024
29573,6024
180474,6024
182286,22100
141110,22100
79810,18045
79810,22100
116749,18045
116749,22100
156208,750
107646,750
169323,750
123733,750
95475,750
184332,750
100320,750
150536,750
112674,750
165492,750
134617,4144
143305,4144
51658,4144
178966,4144
137779,4144
182386,4144
148937,4144
156148,4144
131681,4144
26224,4144
97323,4144
149492,4144
95533,4144
134670,4144
33537,4144
138072,4144
179000,4144
23139,4144
70223,4144
52401,4144
106395,4144
178496,4144
63838,4144
171895,4144
156251,4144
129669,4144
118652,4144
35472,4712
36088,4712
40901,4712
50154,12699
71795,2444
59615,4973
107371,4973
36548,4973
114074,4973
184510,4973
112107,4973
132038,4973
66852,4973
66201,11172
40829,4333
122828,4333
112768,4333
95449,4333
87745,4333
87745,11230
84906,14856
84906,21047
84906,259
26688,14856
26688,21047
26688,259
185085,21047
185085,259
81235,21047
81235,259
112502,21047
112502,259
181263,14856
181263,21047
181263,259
177595,14856
177595,21047
177595,259
84326,14856
84326,21047
84326,259
79343,14856
79343,21047
79343,259
54572,14856
54572,21047
54572,259
23109,14856
23109,21047
23109,259
110863,21047
110863,259
26844,21047
26844,259
50336,21047
50336,259
125469,14856
125469,21047
125469,259
45855,16475
175837,16475
155990,16475
97466,16475
101848,989
92346,9939
29596,9939
58763,9939
79199,9939
38885,9939
73128,6893
73128,20313
73128,7032
50425,6893
50425,20313
50425,7032
40378,6893
40378,20313
40378,7032
54306,6893
54306,7032
49552,6893
49552,20313
49552,7032
63190,6893
63190,20313
63190,7032
83708,6893
62274,6893
31544,6893
31544,20313
104635,20313
104635,7032
175411,20313
175411,7032
24016,7032
40243,7032
150815,20313
150815,7032
52566,20313
52566,7032
125205,20313
125205,7032
73103,20313
73103,7032
49885,6893
49885,20313
49885,7032
47360,19326
47360,15440
105347,13976
105347,6268
105347,9564
88947,13976
88947,6268
88947,9564
89793,13976
89793,6268
89793,9564
69575,13976
69575,6268
69575,9564
79220,10879
85877,10879
123582,10879
134979,10879
180169,10879
84816,10879
185265,19398
148350,19398
99059,19398
83346,19398
79498,19398
177285,19398
174359,19398
57377,19398
145495,19398
168227,19398
63031,19398
142812,19398
142812,6428
185808,19398
75319,19398
26414,19398
80357,19398
145327,19398
145327,6428
153289,19398
153289,6428
45540,10783
45540,6294
123794,8564
29855,3974
22874,12858
90780,6906
45769,6294
53810,19225
163443,11192
34916,8801
34916,15099
34916,2589
155042,8801
155042,15099
155042,2589
63591,13559
76701,13559
161569,18183
84119,18183
145600,18183
52901,18183
91885,19225
53495,19225
33066,19225
74012,19225
24474,19225
149849,19225
29953,19225
53314,19225
113081,19225
161988,19225
186744,19225
85868,19225
123797,19225
41682,19225
109686,19225
44151,15517
157317,12027
42393,18600
138228,18600
154415,18600
122674,18974
82060,6893
82060,7032
122651,6893
122651,7032
103326,6893
159364,6893
159364,7032
37026,6893
38595,6893
172182,6893
80140,7032
167833,6893
167833,7032
175012,6893
175012,7032
119248,6893
119248,7032
147418,6893
147418,7032
38756,6893
100633,6893
100633,7032
126369,6893
126369,20313
30324,20161
106513,4144
108888,4144
183421,4144
127025,4144
30313,4144
162017,4144
49537,4144
70571,4144
174082,4144
94676,4144
89483,4144
179973,4144
111806,4144
68986,2327
72219,2327
90675,2327
75652,2327
92513,2327
76849,2327
62703,2327
166960,2327
39090,2327
155554,10879
155554,6682
34798,10879
34798,6682
131521,6682
136234,10879
136234,6682
102555,10879
102555,6682
51783,19790
30618,19790
51114,19790
162116,19790
73498,19790
