disease,drug,true_label,prediction,dataset
ICD10-F81.1,CID-154100,1.0,0.9938947558403015,train
ICD10-G40.7,CID-3151,0.0,0.012871027924120426,train
ICD10-F33.2,CID-4976,1.0,0.9939761161804199,train
ICD10-B66,CID-4030,1.0,0.9944702386856079,train
ICD10-I71.2,CID-5362116,1.0,0.9982911944389343,train
ICD10-I23,CID-941651,0.0,0.01765630953013897,train
ICD10-B51.0,CID-4543,0.0,0.004323513712733984,train
ICD10-J02.8,CID-4612,0.0,0.012436585500836372,train
ICD10-F33.2,CID-127151,1.0,0.9774371385574341,train
ICD10-H66.1,CID-24776445,0.0,0.1128992810845375,train
ICD10-R56.8,CID-2789,1.0,0.9970742464065552,train
ICD10-C95.0,CID-2723601,1.0,0.9970833659172058,train
ICD10-F33.2,CID-4199,1.0,0.9954326152801514,train
ICD10-E54,CID-42890,0.0,0.007317019626498222,train
ICD10-I39.1,CID-64929,1.0,0.9943270087242126,train
ICD10-K59.0,CID-174,1.0,0.24144747853279114,train
ICD10-M21,CID-60795,0.0,0.005640418268740177,train
ICD10-I82.9,CID-27991,0.0,0.015427854843437672,train
ICD10-I50.1,CID-2882,0.0,0.011456558480858803,train
ICD10-F33.1,CID-4543,1.0,0.8772286772727966,train
ICD10-F80.9,CID-37393,0.0,0.009393516927957535,train
ICD10-T78.2,CID-247704,1.0,0.9913768768310547,train
ICD10-G40.7,CID-3121,1.0,0.9048711657524109,train
ICD10-F32.1,CID-3759,1.0,0.9723442196846008,train
ICD10-H40.1,CID-44814423,0.0,0.009749965742230415,train
ICD10-B46,CID-2812,1.0,0.989949107170105,train
ICD10-C25,CID-16129665,1.0,0.9303798675537109,train
ICD10-I86.4,CID-2479,0.0,0.00358107453212142,train
ICD10-M09.0,CID-119607,1.0,0.9681810140609741,train
ICD10-F20,CID-60854,1.0,0.7170296907424927,train
ICD10-M75.1,CID-5311052,0.0,0.02056795544922352,train
ICD10-N32.8,CID-20824,1.0,0.9744848012924194,train
ICD10-I87.1,CID-6729,0.0,0.009621363133192062,train
ICD10-K85.0,CID-2756,0.0,0.07309316098690033,train
ICD10-C86,CID-5578,0.0,0.03884708881378174,train
ICD10-C91.0,CID-3371,0.0,0.0631706565618515,train
ICD10-I86.2,CID-441335,0.0,0.003505093278363347,train
ICD10-B65,CID-4906,0.0,0.012150094844400883,train
ICD10-A50,CID-11954381,0.0,0.11390871554613113,train
ICD10-F33.4,CID-2771,1.0,0.8947736024856567,train
ICD10-C81.7,CID-152688,1.0,0.9971100687980652,train
ICD10-M08.2,CID-1548942,1.0,0.998810887336731,train
ICD10-D76.3,CID-23925,0.0,0.00987925473600626,train
ICD10-I44.2,CID-443873,1.0,0.9985259175300598,train
ICD10-M89.1,CID-4107,1.0,0.9984068274497986,train
ICD10-J68.8,CID-3821,0.0,0.004446854814887047,train
ICD10-M72.0,CID-1993,0.0,0.011340667493641376,train
ICD10-M84.3,CID-5258,0.0,0.013032518327236176,train
ICD10-I99,CID-5360515,0.0,0.003292159643024206,train
ICD10-I44.5,CID-5362116,1.0,0.9990442395210266,train
ICD10-B81.2,CID-5430,1.0,0.9861158132553101,train
ICD10-I81,CID-156320,1.0,0.9823383092880249,train
ICD10-G41,CID-2789,1.0,0.9931244254112244,train
ICD10-E52,CID-70685132,0.0,0.00606865668669343,train
ICD10-B47.0,CID-637568,0.0,0.426408052444458,train
ICD10-F33.4,CID-3194,0.0,0.011344860307872295,train
ICD10-C94.4,CID-71657455,1.0,0.9991083741188049,train
ICD10-I15,CID-4883,0.0,0.11688033491373062,train
ICD10-N36.0,CID-2762,1.0,0.9986347556114197,train
ICD10-B48.8,CID-1549008,1.0,0.9978006482124329,train
ICD10-E46,CID-1051,1.0,0.9656373858451843,train
ICD10-F33,CID-5717,0.0,0.0072609493508934975,train
ICD10-C84.4,CID-152688,1.0,0.9972483515739441,train
ICD10-E50.0,CID-1051,1.0,0.9943260550498962,train
ICD10-F34.1,CID-6305,1.0,0.8575426936149597,train
ICD10-I24.0,CID-107970,0.0,0.025700485333800316,train
ICD10-I70,CID-5280723,1.0,0.9397979378700256,train
ICD10-I10,CID-3677,1.0,0.7059773206710815,train
ICD10-B69.8,CID-4477,1.0,0.1417180597782135,train
ICD10-F32.8,CID-214356,0.0,0.7503070831298828,train
ICD10-C22,CID-2578,1.0,0.9886555671691895,train
ICD10-I10,CID-2165,0.0,0.11148881912231445,train
ICD10-O06.5,CID-5282415,1.0,0.9977896213531494,train
ICD10-K83.1,CID-2182,0.0,0.056136514991521835,train
ICD10-G20,CID-26758,1.0,0.8405309319496155,train
ICD10-I11,CID-105075,0.0,0.12369008362293243,train
ICD10-I77.6,CID-2972,0.0,0.004463668912649155,train
ICD10-I05.0,CID-3343,0.0,0.009721444919705391,train
ICD10-X69,CID-3373,1.0,0.8482621908187866,train
ICD10-I23.1,CID-107770,0.0,0.012135823257267475,train
ICD10-I23.8,CID-5381,0.0,0.008000469766557217,train
ICD10-N95.2,CID-259331,0.0,0.21361404657363892,train
ICD10-F41.2,CID-16129665,0.0,0.013310053385794163,train
ICD10-L40.5,CID-2381,0.0,0.008124643936753273,train
ICD10-J44,CID-121488177,0.0,0.07470794767141342,train
ICD10-I85.0,CID-2244,1.0,0.9968063831329346,train
ICD10-B51.8,CID-4064,1.0,0.9973160624504089,train
ICD10-I51.4,CID-5504,0.0,0.048700250685214996,train
ICD10-M22.4,CID-16131215,0.0,0.02849278599023819,train
ICD10-M79.5,CID-4107,1.0,0.9980947375297546,train
ICD10-C84.1,CID-5453,0.0,0.3928123116493225,train
ICD10-M46.3,CID-2576,1.0,0.9977613687515259,train
ICD10-E11,CID-5961,0.0,0.24327272176742554,train
ICD10-G40.0,CID-3878,1.0,0.9527574181556702,train
ICD10-F32.1,CID-644019,0.0,0.0938323438167572,train
ICD10-B39.2,CID-123600,0.0,0.023311300203204155,train
ICD10-N35,CID-24480,0.0,0.02062837779521942,train
ICD10-F34.1,CID-60871,0.0,0.012603211216628551,train
ICD10-I45.6,CID-4107,0.0,0.010461150668561459,train
ICD10-I86.1,CID-4195,0.0,0.00779686076566577,train
ICD10-F32.9,CID-2995,1.0,0.9087115526199341,train
ICD10-F33.8,CID-25235773,0.0,0.013395324349403381,train
ICD10-I87.1,CID-8550,0.0,0.4938438832759857,train
ICD10-I07.1,CID-3957,0.0,0.0034948554821312428,train
ICD10-G41.8,CID-4506,1.0,0.8995774984359741,train
ICD10-J70.3,CID-5282219,1.0,0.9857021570205688,train
ICD10-G40.3,CID-3476,0.0,0.04036974534392357,train
ICD10-I97.2,CID-30487,0.0,0.0035395894665271044,train
ICD10-I77.2,CID-16004692,1.0,0.9946914315223694,train
ICD10-N30,CID-151166,0.0,0.01041549164801836,train
ICD10-M76,CID-2576,1.0,0.9990720748901367,train
ICD10-F33.0,CID-15130,0.0,0.008756378665566444,train
ICD10-I79,CID-15951529,0.0,0.009970392100512981,train
ICD10-E14,CID-121891,1.0,0.980419933795929,train
ICD10-J34.3,CID-54687,0.0,0.009224078617990017,train
ICD10-C86.4,CID-439299,1.0,0.9980307221412659,train
ICD10-F33.4,CID-175805,0.0,0.010545825585722923,train
ICD10-B51,CID-5485198,1.0,0.998316764831543,train
ICD10-M21.4,CID-4107,1.0,0.9923317432403564,train
ICD10-I51.3,CID-10178705,0.0,0.013105529360473156,train
ICD10-C88.7,CID-2723601,1.0,0.9927721619606018,train
ICD10-I74.2,CID-644282,0.0,0.006151843350380659,train
ICD10-R56,CID-2802,1.0,0.995682954788208,train
ICD10-N32.2,CID-5329102,0.0,0.004548548720777035,train
ICD10-K86.1,CID-441207,0.0,0.017201069742441177,train
ICD10-E51,CID-5280489,1.0,0.9964320659637451,train
ICD10-I30.8,CID-3741,1.0,0.9963131546974182,train
ICD10-B36.8,CID-6708701,0.0,0.09366659075021744,train
ICD10-I85.0,CID-24750,1.0,0.9974830746650696,train
ICD10-B46,CID-4189,1.0,0.9729943871498108,train
ICD10-I07.1,CID-4236,0.0,0.0026587899774312973,train
ICD10-E50.1,CID-1110,1.0,0.9753279089927673,train
ICD10-E13.8,CID-5749,0.0,0.010409994050860405,train
ICD10-I77.3,CID-60823,1.0,0.9961225390434265,train
ICD10-H40.0,CID-5035,0.0,0.016838226467370987,train
ICD10-I30,CID-37464,0.0,0.02064584009349346,train
ICD10-I72.2,CID-130956,0.0,0.004253894090652466,train
ICD10-I49.9,CID-5073,0.0,0.011505410075187683,train
ICD10-C85.1,CID-24872560,1.0,0.9870812296867371,train
ICD10-F40.2,CID-3559,0.0,0.07117325812578201,train
ICD10-B39.2,CID-56842239,0.0,0.040547315031290054,train
ICD10-I72.2,CID-5206,0.0,0.008376329205930233,train
ICD10-M24,CID-5281070,0.0,0.005460964981466532,train
ICD10-L12.8,CID-7638,0.0,0.02944825030863285,train
ICD10-F32.1,CID-92786,1.0,0.9831709265708923,train
ICD10-I86.2,CID-5311064,1.0,0.9986292123794556,train
ICD10-M06.1,CID-151075,1.0,0.9940447211265564,train
ICD10-F41.2,CID-4976,1.0,0.9980910420417786,train
ICD10-I79,CID-9831415,0.0,0.017347851768136024,train
ICD10-J10,CID-65028,1.0,0.10683093965053558,train
ICD10-E55.0,CID-2708,0.0,0.012264572083950043,train
ICD10-E85.3,CID-6178111,0.0,0.009096953086555004,train
ICD10-I77.6,CID-60823,1.0,0.9947909116744995,train
ICD10-M68,CID-23724530,0.0,0.0025671329349279404,train
ICD10-M06.0,CID-8982,1.0,0.126609206199646,train
ICD10-B50.8,CID-3652,1.0,0.5713917016983032,train
ICD10-O01.1,CID-5920,0.0,0.004304573871195316,train
ICD10-I74.2,CID-6013,0.0,0.016672121360898018,train
ICD10-I10,CID-9904,0.0,0.08861260116100311,train
ICD10-XII,CID-5311027,1.0,0.9333837032318115,train
ICD10-G43,CID-23724967,0.0,0.014016971923410892,train
ICD10-H40.1,CID-3105,1.0,0.856844961643219,train
ICD10-N31,CID-3448,0.0,0.008165882900357246,train
ICD10-E50.8,CID-2094,0.0,0.006421348545700312,train
ICD10-M01.6,CID-4107,1.0,0.9960747957229614,train
ICD10-I99,CID-3698,1.0,0.9959261417388916,train
ICD10-C83.7,CID-71764,0.0,0.010317050851881504,train
ICD10-M14.6,CID-6439929,1.0,0.9843308329582214,train
ICD10-I77.5,CID-16004692,1.0,0.9972841739654541,train
ICD10-C83.0,CID-30323,1.0,0.9982372522354126,train
ICD10-E63,CID-5461108,1.0,0.9854646325111389,train
ICD10-F41.1,CID-5736,1.0,0.7745115756988525,train
ICD10-F32.2,CID-4543,1.0,0.9833922386169434,train
ICD10-I11,CID-11953891,1.0,0.9893277287483215,train
ICD10-L81.7,CID-443943,1.0,0.9989508390426636,train
ICD10-G43,CID-2481,1.0,0.9327685832977295,train
ICD10-I30.1,CID-71992,1.0,0.9987795948982239,train
ICD10-I88.1,CID-667476,0.0,0.005342997144907713,train
ICD10-K80.4,CID-5282430,1.0,0.9948189854621887,train
ICD10-K85.8,CID-4021,0.0,0.44600898027420044,train
ICD10-G41.1,CID-4099,1.0,0.9719812273979187,train
ICD10-L90.6,CID-4507,0.0,0.005784739274531603,train
ICD10-I30.8,CID-6476,0.0,0.005375129170715809,train
ICD10-J96.0,CID-5282219,1.0,0.9737712740898132,train
ICD10-M11.8,CID-16231,0.0,0.004843275994062424,train
ICD10-E63.0,CID-6140,1.0,0.9974070191383362,train
ICD10-I30.8,CID-4107,0.0,0.00947539135813713,train
ICD10-I11,CID-9601226,1.0,0.8865793347358704,train
ICD10-E60,CID-83927,0.0,0.02561083622276783,train
ICD10-H40.0,CID-4100,1.0,0.9910695552825928,train
ICD10-M02.8,CID-60657,0.0,0.00974576361477375,train
ICD10-K20,CID-656400,1.0,0.5094220042228699,train
ICD10-XI,CID-2784,1.0,0.884813129901886,train
ICD10-C86.4,CID-30323,1.0,0.9976937174797058,train
ICD10-J43.0,CID-4762,0.0,0.007899899035692215,train
ICD10-A18.5,CID-4837,0.0,0.015742620453238487,train
ICD10-F33.0,CID-636369,0.0,0.011010232381522655,train
ICD10-I49.8,CID-716121,0.0,0.0118665536865592,train
ICD10-E13,CID-121891,1.0,0.9921678900718689,train
ICD10-M24.0,CID-3084049,1.0,0.9957648515701294,train
ICD10-I20.8,CID-16850,1.0,0.9919048547744751,train
ICD10-I45.4,CID-13769,0.0,0.0031166805420070887,train
ICD10-E78.2,CID-3003141,0.0,0.042133476585149765,train
ICD10-F32,CID-68617,1.0,0.9924295544624329,train
ICD10-I85.9,CID-156320,1.0,0.9807116389274597,train
ICD10-E78.1,CID-1549000,0.0,0.012843497097492218,train
ICD10-E83.3,CID-5311101,0.0,0.004607314709573984,train
ICD10-F84.0,CID-154100,1.0,0.9464069604873657,train
ICD10-N97,CID-51081,0.0,0.014571611769497395,train
ICD10-I22,CID-10288191,0.0,0.03140297532081604,train
ICD10-I83.1,CID-9875401,1.0,0.9967265129089355,train
ICD10-M51.3,CID-4107,1.0,0.9981411695480347,train
ICD10-I70.2,CID-33630,0.0,0.007260642945766449,train
ICD10-D81,CID-5351,0.0,0.009764580056071281,train
ICD10-C81.7,CID-2723601,1.0,0.9961750507354736,train
ICD10-B66.0,CID-5394,0.0,0.01781003549695015,train
ICD10-M79.4,CID-64143,0.0,0.013476152904331684,train
ICD10-F41.0,CID-2712,1.0,0.9963743090629578,train
ICD10-I97.2,CID-5362116,1.0,0.998835027217865,train
ICD10-E24,CID-55245,1.0,0.7166287302970886,train
ICD10-J45,CID-65015,0.0,0.18910077214241028,train
ICD10-I07.0,CID-60953,0.0,0.0035602315329015255,train
ICD10-F32,CID-4753,0.0,0.08152029663324356,train
ICD10-M23,CID-119607,1.0,0.9798932075500488,train
ICD10-B36.0,CID-11434515,0.0,0.0066518038511276245,train
ICD10-M23.8,CID-4762,0.0,0.002905425149947405,train
ICD10-I50,CID-5488548,0.0,0.00841111596673727,train
ICD10-E51.8,CID-6140,1.0,0.9956648945808411,train
ICD10-B39.2,CID-47641,0.0,0.021752340719103813,train
ICD10-M11.8,CID-16667669,1.0,0.9843148589134216,train
ICD10-I74.0,CID-16850,1.0,0.9765233397483826,train
ICD10-F41.8,CID-16129620,0.0,0.00887724757194519,train
ICD10-E78.1,CID-3343,0.0,0.004753033630549908,train
ICD10-E87.1,CID-31378,1.0,0.37262269854545593,train
ICD10-E87.2,CID-444008,1.0,0.9988403916358948,train
ICD10-I25.3,CID-3741,1.0,0.9872310757637024,train
ICD10-E11,CID-121891,1.0,0.9862903952598572,train
ICD10-B36.8,CID-9651,0.0,0.06109391525387764,train
ICD10-F33.4,CID-92786,1.0,0.9768512845039368,train
ICD10-I70.0,CID-2554,0.0,0.007143624126911163,train
ICD10-G93.5,CID-383414,0.0,0.012097615748643875,train
ICD10-I25.1,CID-6442177,0.0,0.024021252989768982,train
ICD10-N30.8,CID-39765,0.0,0.008526970632374287,train
ICD10-I50.0,CID-176077,0.0,0.129457026720047,train
ICD10-B81.0,CID-50248,1.0,0.9796783924102783,train
ICD10-M06.0,CID-51634,0.0,0.03212382644414902,train
ICD10-F32.2,CID-65430,0.0,0.027592139318585396,train
ICD10-L40.1,CID-443943,1.0,0.9984036087989807,train
ICD10-E13,CID-3476,1.0,0.9953369498252869,train
ICD10-I06.0,CID-9568614,1.0,0.9967604279518127,train
ICD10-G40.0,CID-5665,1.0,0.9933260679244995,train
ICD10-E61.6,CID-65981,0.0,0.006866157986223698,train
ICD10-J85.0,CID-5361092,0.0,0.004915907047688961,train
ICD10-C94.2,CID-72281,0.0,0.0064684185199439526,train
ICD10-M12,CID-1548942,1.0,0.9967678785324097,train
ICD10-N30.1,CID-54675840,0.0,0.17596431076526642,train
ICD10-H18,CID-5328940,0.0,0.11581603437662125,train
ICD10-M15,CID-5284627,0.0,0.011243346147239208,train
ICD10-I48.9,CID-72081,0.0,0.03844418004155159,train
ICD10-I11,CID-6918670,0.0,0.2543543875217438,train
ICD10-B81.1,CID-4099,0.0,0.0074988785199820995,train
ICD10-I85.9,CID-54687,0.0,0.007392167579382658,train
ICD10-T86.2,CID-443873,1.0,0.9984501600265503,train
ICD10-L04,CID-5311064,1.0,0.9985871315002441,train
ICD10-E06.0,CID-5238,1.0,0.9978348612785339,train
ICD10-M23,CID-441477,1.0,0.9931615591049194,train
ICD10-M61.1,CID-4107,1.0,0.8726101517677307,train
ICD10-M94.1,CID-11304743,0.0,0.07765017449855804,train
ICD10-I12,CID-11963579,1.0,0.9943232536315918,train
